artists,titles,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
The Beatles,Ain't She Sweet - Anthology 1 Version,0.495,0.854,-5.699,0.0434,0.208,0.0,0.0371,0.819,77.967,133347.0,4
The Beatles,Ain't She Sweet - Anthology 3 Version,0.81,0.502,-10.399,0.0541,0.0805,0.0564,0.177,0.685,121.466,128480.0,0
Radiohead,Airbag,0.306,0.872,-7.313,0.05,0.00792,0.8,0.261,0.648,167.946,287880.0,5
Karkwa,À La Chaîne,0.314,0.874,-6.33,0.0398,0.05,0.0784,0.411,0.398,159.829,265573.0,2
Karkwa,Alaska,0.216,0.517,-8.211,0.0325,0.0366,0.318,0.35,0.129,99.434,322547.0,6
Jean Leloup,Alger,0.792,0.892,-5.626,0.171,0.109,0.0,0.0695,0.816,108.305,208787.0,0
Fleece,Aliens,0.426,0.502,-11.085,0.0296,0.582,0.206,0.123,0.153,130.018,254852.0,1
Daft Punk,Alive,0.723,0.716,-6.407,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,316253.0,5
Daft Punk,Alive,0.723,0.716,-6.407,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,316253.0,5
Brazilian Girls,All About Us,0.729,0.767,-6.809,0.0621,0.121,0.0294,0.0839,0.748,119.965,240360.0,4
Humble Braggers,All Alone,0.432,0.796,-9.39,0.0546,0.000613,1.79e-05,0.239,0.183,119.997,216911.0,6
The Whitest Boy Alive,All Ears,0.457,0.0952,-15.476,0.0413,0.693,0.032,0.113,0.138,139.432,199760.0,1
Nick Galemore,All Goes Wrong,0.665,0.809,-8.263,0.0391,0.0382,0.855,0.378,0.472,120.009,482223.0,5
Vance Joy,All I Ever Wanted,0.518,0.624,-6.134,0.0256,0.0312,0.000171,0.131,0.241,87.565,216880.0,6
Radiohead,All I Need,0.668,0.477,-8.709,0.0358,0.517,0.446,0.139,0.0966,88.005,228747.0,1
Bahamas,All I've Ever Known,0.669,0.203,-11.059,0.0317,0.706,0.221,0.107,0.265,125.864,375973.0,1
The Beatles,All I've Got To Do - Remastered 2009,0.49,0.579,-10.301,0.0344,0.217,0.0,0.0644,0.879,119.403,122573.0,4
Björk,All Is Full of Love,0.481,0.49,-10.098,0.0271,0.0536,0.123,0.0915,0.0378,152.04,287000.0,2
Rita Lee,All My Loving,0.701,0.182,-17.068,0.0381,0.835,0.0276,0.109,0.125,117.885,185733.0,1
The Beatles,All My Loving - Anthology 1 Version,0.261,0.805,-5.722,0.0408,0.0436,0.0,0.375,0.858,155.586,139333.0,4
The Beatles,All My Loving - Live / Remastered,0.203,0.663,-8.037,0.0349,0.0203,0.0,0.899,0.725,169.994,135253.0,3
The Beatles,All My Loving - Remastered 2009,0.416,0.563,-8.724,0.0298,0.207,0.0,0.343,0.9,77.56,127853.0,4
LMFAO,All Night Long,0.652,0.829,-4.982,0.0499,0.141,0.0,0.0971,0.438,130.915,227067.0,6
Lionel Richie,All Night Long (All Night) - Single Version,0.739,0.576,-12.024,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427.0,0
Plants and Animals,All Of The Time,0.55,0.751,-7.818,0.0754,0.225,0.345,0.133,0.347,144.296,219618.0,2
WhoMadeWho,All That I Am,0.607,0.811,-6.618,0.0443,0.033,0.354,0.376,0.339,118.987,331507.0,6
Bahamas,All The Time,0.711,0.468,-4.797,0.0515,0.63,0.00427,0.087,0.533,127.458,234973.0,1
The Strokes,All The Time,0.403,0.883,-6.054,0.0745,8.44e-05,0.65,0.126,0.078,141.945,181373.0,2
Sufjan Stevens,All the Trees of the Field Will Clap Their Hands,0.632,0.225,-13.423,0.0296,0.984,0.74,0.112,0.683,144.641,254053.0,7
The Killers,All These Things That I've Done,0.557,0.728,-6.181,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,301573.0,6
The Beatles,All Things Must Pass - Anthology 3 Version,0.492,0.231,-13.476,0.0368,0.972,6.16e-06,0.229,0.61,93.232,184987.0,1
Bahamas,All Time Favourite,0.378,0.254,-12.694,0.0399,0.891,0.00489,0.109,0.19,123.885,249320.0,1
The Beatles,All Together Now - Remastered 2009,0.587,0.431,-9.495,0.0686,0.0722,0.0,0.561,0.778,95.937,130893.0,3
Perfume Genius,All Waters,0.126,0.277,-12.954,0.0304,0.936,0.00212,0.345,0.0688,88.611,130200.0,7
Brazilian Girls,All We Have,0.613,0.821,-8.534,0.0344,0.00855,0.783,0.0869,0.46,101.99,226640.0,5
The Beatles,All You Need Is Love,0.372,0.532,-7.968,0.0314,0.232,0.0,0.0951,0.727,102.627,220045.0,6
The Beatles,All You Need Is Love - Remastered 2009,0.4,0.463,-8.455,0.0288,0.345,4.59e-05,0.286,0.627,103.103,231213.0,1
The Beatles,All You Need Is Love - Remastered 2009,0.389,0.436,-9.7,0.0295,0.343,3.2e-05,0.258,0.692,100.371,228653.0,1
The Beatles,All You Need Is Love - Remastered 2009,0.4,0.48,-7.768,0.0295,0.346,3.1e-05,0.155,0.653,103.436,230387.0,6
The Beatles,All You Need Is Love - Remastered 2015,0.397,0.625,-5.829,0.0347,0.437,5.47e-06,0.263,0.676,104.54,227760.0,6
Ariane Moffatt,All Yours,0.719,0.638,-6.311,0.0274,0.0381,7.5e-05,0.155,0.589,112.034,154067.0,6
Lester Young,Almost Like Being In Love,0.697,0.103,-14.972,0.0967,0.962,0.561,0.0806,0.464,129.535,214627.0,7
The Strokes,"Alone, Together",0.511,0.855,-5.752,0.0307,0.00782,0.89,0.0694,0.962,142.985,188314.0,5
The Strokes,"Alone, Together",0.515,0.863,-5.756,0.0308,0.00786,0.893,0.0616,0.961,143.017,188640.0,5
Sufjan Stevens,Alphabet St.,0.808,0.839,-8.966,0.108,0.642,0.0805,0.0818,0.856,99.986,96293.0,0
Bahamas,Already Yours,0.64,0.291,-12.42,0.0419,0.619,0.304,0.114,0.538,123.456,125547.0,1
Tame Impala,Alter Ego,0.31,0.844,-3.582,0.0497,0.0142,0.224,0.0914,0.206,129.111,287613.0,2
Alabama Shakes,Always Alright,0.693,0.62,-6.509,0.0424,0.784,0.844,0.112,0.571,106.346,249170.0,5
Cage The Elephant,Always Something,0.693,0.947,-5.22,0.0437,0.000886,1.67e-05,0.256,0.917,119.983,221947.0,4
Michael Kiwanuka,Always Waiting,0.43,0.405,-10.604,0.025,0.553,1.67e-05,0.0883,0.225,92.387,270178.0,1
They Call Me Rico,Am I Wrong,0.474,0.845,-7.039,0.0566,0.346,0.00684,0.222,0.847,108.539,209587.0,4
Other Lives,AM Theme,0.628,0.392,-11.613,0.026,0.406,0.000275,0.112,0.386,110.253,154000.0,1
Radiohead,The Amazing Sounds of Orgy,0.323,0.628,-11.727,0.101,0.243,0.39,0.165,0.205,124.587,218493.0,2
Electric Guest,Amber,0.652,0.573,-8.338,0.0513,0.0429,0.479,0.149,0.837,78.011,230773.0,5
TRICOT MACHINE,Ambulance,0.435,0.703,-7.25,0.0754,0.535,0.000835,0.14,0.574,127.402,230747.0,6
Purity Ring,Amenamy,0.586,0.841,-4.598,0.0341,0.0172,1.36e-05,0.203,0.446,145.986,207080.0,4
Estelle,American Boy (feat. Kanye West),0.727,0.729,-2.99,0.326,0.171,0.0,0.07,0.512,117.932,284733.0,0
Electric Guest,American Daydream,0.666,0.473,-10.06,0.0454,0.154,0.00317,0.109,0.409,75.002,168627.0,6
Coldplay,Amsterdam,0.269,0.176,-10.463,0.0296,0.836,0.0343,0.122,0.105,78.861,319360.0,1
The Beatles,And I Love Her - Anthology 1 Version,0.616,0.633,-6.404,0.0275,0.275,4.44e-05,0.173,0.857,118.849,112053.0,4
The Beatles,And I Love Her - Remastered 2009,0.767,0.331,-10.777,0.0337,0.64,0.0,0.0681,0.636,113.312,149693.0,1
The Beatles,And Your Bird Can Sing - Take 2 / Anthology 2 Version,0.327,0.676,-9.007,0.0368,0.03,0.0164,0.0994,0.822,133.627,133413.0,4
The Beatles,And Your Bird Can Sing - Remastered 2009,0.555,0.65,-6.936,0.0282,0.0067,0.0491,0.236,0.966,132.59,120493.0,4
The Killers,"Andy, You're A Star",0.504,0.588,-4.35,0.0253,0.233,0.00466,0.148,0.712,84.126,194080.0,6
Hozier,Angel of Small Death and the Codeine Scene,0.311,0.656,-6.752,0.0952,0.163,7.05e-06,0.126,0.297,188.171,218987.0,2
Hozier,Angel of Small Death and the Codeine Scene,0.52,0.643,-5.761,0.0432,0.198,7e-05,0.12,0.389,94.078,219213.0,6
Hozier,Angel of Small Death and the Codeine Scene - Live From Spotify London,0.594,0.2,-10.472,0.0622,0.928,0.0,0.673,0.415,92.821,210920.0,3
The Lumineers,Angela,0.669,0.56,-8.229,0.0309,0.652,0.000231,0.104,0.297,130.342,201787.0,1
Sufjan Stevens,Angels We Have Heard On High,0.445,0.168,-14.857,0.0392,0.858,0.307,0.36,0.487,99.231,52320.0,7
Sufjan Stevens,Angels We Have Heard On High,0.599,0.223,-13.441,0.0313,0.953,0.0014,0.183,0.402,123.959,243947.0,1
Miike Snow,Animal,0.774,0.721,-6.662,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,263427.0,0
Miike Snow,Animal,0.778,0.725,-6.607,0.0842,0.0121,1.74e-05,0.0934,0.674,118.012,263427.0,0
Miike Snow,Animal - Mark Ronson Extended Remix,0.879,0.764,-6.731,0.0599,0.103,0.467,0.644,0.949,116.417,298400.0,3
The Dø,Anita No!,0.726,0.578,-5.988,0.0639,0.657,0.000244,0.11,0.389,91.031,183710.0,1
Fujiya & Miyagi,Ankle Injuries,0.777,0.728,-6.9,0.0316,0.000157,0.818,0.0942,0.569,136.999,304080.0,5
The Beatles,Anna (Go To Him) - Remastered 2009,0.608,0.565,-11.06,0.0336,0.635,0.0,0.0601,0.835,109.286,177133.0,1
Mac DeMarco,Annie,0.369,0.401,-13.477,0.0382,0.826,0.948,0.11,0.474,176.662,207773.0,7
Mac DeMarco,Annie,0.407,0.257,-18.183,0.0302,0.518,0.241,0.968,0.213,84.514,218802.0,3
Mac DeMarco,Annie,0.562,0.744,-7.501,0.039,0.0972,0.463,0.135,0.561,94.468,190557.0,6
Pink Floyd,"Another Brick in the Wall, Pt. 1",0.613,0.0457,-26.398,0.0337,0.937,0.642,0.0991,0.093,99.524,192146.0,7
Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",0.693,0.353,-17.852,0.0414,0.0704,0.00113,0.503,0.75,104.143,228587.0,3
Pink Floyd,"Another Brick in the Wall, Pt. 2",0.693,0.394,-15.882,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747.0,0
Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",0.694,0.394,-15.881,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747.0,0
Pink Floyd,"Another Brick in the Wall, Pt. 3",0.653,0.472,-14.797,0.0353,0.0554,7.69e-05,0.397,0.448,102.558,74411.0,6
WhoMadeWho,Another Day,0.763,0.675,-7.562,0.0328,0.091,0.0318,0.105,0.48,127.999,258653.0,6
The Beatles,Another Girl - Remastered 2009,0.516,0.638,-7.453,0.0314,0.238,0.0,0.333,0.822,88.657,125360.0,4
Mac DeMarco,Another One,0.694,0.407,-10.325,0.0276,0.821,0.021,0.106,0.719,147.684,160991.0,1
Queen,Another One Bites The Dust - Remastered 2011,0.933,0.528,-6.472,0.162,0.112,0.329,0.163,0.756,109.975,214653.0,0
Pulp,Ansaphone - Demo previously unreleased,0.331,0.486,-7.452,0.04,0.292,0.0,0.384,0.336,184.954,246360.0,2
Feist,Anti-Pioneer,0.414,0.178,-10.557,0.0321,0.194,0.00412,0.125,0.036,87.728,333307.0,1
Loco Locass,Antiaméricanisme Primaire,0.776,0.773,-6.965,0.317,0.052,0.0,0.11,0.463,91.988,216960.0,0
Arcade Fire,(Antichrist Television Blues),0.447,0.952,-7.033,0.044,0.685,0.00215,0.0689,0.82,79.331,310280.0,6
Loco Locass,Antigone,0.661,0.885,-6.738,0.113,0.0851,2.53e-06,0.388,0.794,91.967,258307.0,0
Pink Floyd,Any Colour You Like,0.277,0.672,-12.582,0.0901,0.197,0.936,0.423,0.505,150.587,206429.0,5
Michael Kiwanuka,Any Day Will Do Fine,0.522,0.379,-11.737,0.0318,0.655,0.0,0.11,0.4,104.998,217808.0,1
Bahamas,Any Other Way,0.431,0.239,-13.248,0.122,0.892,0.0,0.4,0.335,155.833,63213.0,1
The Beatles,Any Time At All - Remastered 2009,0.612,0.719,-7.026,0.0398,0.366,3.88e-06,0.437,0.744,141.016,131280.0,4
Tame Impala,Apocalypse Dreams,0.496,0.929,-2.279,0.0503,0.249,0.131,0.0677,0.267,127.998,356947.0,6
Tahiti Boy,Après l'aéroport,0.695,0.2,-17.895,0.0376,0.941,0.923,0.108,0.232,109.97,115000.0,7
Real Estate,April's Song,0.484,0.793,-7.588,0.0277,0.0829,0.974,0.142,0.638,138.749,212240.0,5
Rita Lee,"Aqui, Ali, Em Qualquer Lugar",0.609,0.261,-15.079,0.0304,0.822,1.12e-06,0.0798,0.376,92.059,149133.0,1
Arctic Monkeys,Arabella,0.579,0.558,-6.986,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357.0,2
Arctic Monkeys,Arabella,0.579,0.558,-6.986,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357.0,2
Dumas,Arizona,0.499,0.718,-6.805,0.026,0.152,0.00691,0.27,0.345,103.384,203813.0,6
Björk,Army of Me,0.541,0.748,-7.463,0.0288,0.0117,9.62e-05,0.0993,0.473,86.027,235533.0,6
Cage The Elephant,Around My Head,0.516,0.959,-2.484,0.0597,0.000659,4.44e-06,0.046,0.474,109.91,191600.0,6
Kings of Leon,Around The World,0.575,0.854,-5.847,0.0362,0.000252,0.676,0.351,0.587,113.075,214040.0,5
Daft Punk,Around the World,0.956,0.795,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533.0,5
Daft Punk,Around the World - Radio Edit [Radio Edit],0.934,0.76,-5.549,0.148,0.00417,0.906,0.0656,0.864,121.302,241467.0,5
alt-J,Arrival in Nara,0.484,0.0823,-20.53,0.0533,0.963,0.114,0.111,0.175,119.523,253418.0,7
Hozier,Arsonist's Lullabye,0.463,0.373,-10.666,0.0362,0.673,0.0745,0.118,0.184,64.831,266547.0,1
Slow Hollows,The Art School Kids,0.497,0.39,-18.198,0.029,0.301,0.0211,0.386,0.547,111.674,146365.0,1
Ariane Moffatt,Artifacts,0.51,0.477,-13.192,0.0437,0.791,0.342,0.111,0.464,88.093,222293.0,1
Metric,Artificial Nocturne,0.228,0.825,-6.344,0.062,0.00397,0.54,0.217,0.0375,145.003,342387.0,2
Jack Johnson,As I Was Saying,0.631,0.526,-8.453,0.0276,0.181,0.000511,0.11,0.428,90.111,225547.0,6
The Hollywood Soundtrack Band,"As the World Falls Down (From ""Labyrinth"")",0.64,0.547,-8.153,0.0244,0.105,3.33e-05,0.31,0.547,98.483,291822.0,6
Beach Fossils,Ascension,0.438,0.631,-10.329,0.0356,0.00147,0.94,0.0902,0.314,132.605,90202.0,5
The Strokes,Ask Me Anything,0.344,0.31,-9.79,0.0334,0.55,0.841,0.147,0.46,131.547,189973.0,5
The Beatles,Ask Me Why - Remastered 2009,0.605,0.394,-11.33,0.0378,0.767,0.0,0.0967,0.597,133.942,146533.0,1
Karkwa,Au-Dessus De La Tête De Lilijune,0.294,0.344,-18.827,0.0481,0.0742,0.707,0.114,0.545,119.792,93907.0,7
Sufjan Stevens,Auld Lang Syne,0.758,0.243,-10.055,0.0372,0.789,3.57e-06,0.126,0.655,111.54,94720.0,1
SIMON I,Automatic,0.546,0.858,-6.603,0.033,0.00761,0.000606,0.276,0.657,160.912,204005.0,4
The Strokes,Automatic Stop,0.676,0.535,-6.109,0.0376,0.00329,0.719,0.104,0.914,105.92,207133.0,5
The Strokes,Automatic Stop,0.675,0.535,-6.109,0.0376,0.00329,0.719,0.104,0.914,105.921,207133.0,5
Dumas,Avant l'aube,0.537,0.533,-9.052,0.0304,0.461,0.183,0.179,0.423,100.987,307613.0,1
Damien Robitaille,Avant que vienne l'avalanche,0.735,0.597,-7.901,0.032,0.352,0.00845,0.0823,0.855,134.995,183547.0,4
Stromae,ave cesaria,0.724,0.659,-8.254,0.202,0.117,2.89e-06,0.208,0.377,113.009,249520.0,0
Sufjan Stevens,Ave Maria (feat. Cat Martino),0.17,0.131,-17.882,0.033,0.881,1.45e-05,0.121,0.137,176.937,128520.0,7
Stromae,avf,0.848,0.686,-8.042,0.153,0.00363,1.13e-05,0.0597,0.846,137.009,225053.0,0
Electric Guest,Awake,0.566,0.593,-7.348,0.0349,0.0206,0.0654,0.121,0.806,111.001,300867.0,4
Arcade Fire,Awful Sound (Oh Eurydice),0.231,0.708,-7.845,0.0471,0.256,0.0741,0.0394,0.55,70.969,373882.0,6
San Cisco,Awkward - EP Version,0.6,0.877,-5.768,0.11,0.076,9.75e-05,0.107,0.921,161.885,153933.0,4
Perfume Genius,AWOL Marine,0.205,0.11,-14.27,0.0294,0.982,0.766,0.263,0.0391,92.877,167840.0,7
Michael Jackson,Baby Be Mine,0.829,0.663,-4.61,0.0795,0.167,1.69e-05,0.109,0.668,109.647,260187.0,0
Michael Jackson,Baby Be Mine,0.843,0.646,-5.568,0.0882,0.181,7.28e-06,0.15,0.649,109.756,259533.0,0
King Krule,Baby Blue,0.468,0.331,-11.052,0.036,0.613,0.00108,0.129,0.09,102.448,215507.0,1
The Beatles,Baby It's You - Remastered 2009,0.608,0.494,-12.211,0.0345,0.778,0.0,0.0926,0.879,112.421,160520.0,1
The Beatles,Baby's In Black - Live / Bonus Track,0.202,0.756,-7.895,0.0528,0.0183,1.05e-06,0.918,0.669,185.584,164653.0,3
The Beatles,Baby's In Black - Remastered 2009,0.374,0.596,-7.666,0.0416,0.434,0.0,0.098,0.876,202.97,124520.0,2
Mac DeMarco,Baby's Wearing Blue Jeans,0.469,0.894,-4.785,0.0734,0.00214,0.00068,0.0815,0.79,128.569,213470.0,4
The Beatles,"Baby, You're A Rich Man - Remastered 2009",0.619,0.625,-9.635,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307.0,6
Les Trois Accords,Bac à fleurs,0.649,0.719,-5.106,0.0277,0.000962,0.0,0.423,0.639,105.222,193347.0,6
Radio Radio,Bachelor Party,0.662,0.812,-6.35,0.217,0.072,0.0,0.336,0.599,134.08,182576.0,0
Björk,Bachelorette,0.455,0.871,-7.232,0.063,0.0409,3.87e-06,0.0755,0.346,96.933,315000.0,6
Lester Young,(Back Home Again In) Indiana,0.642,0.235,-14.752,0.116,0.951,0.457,0.251,0.625,93.942,424400.0,1
Estelle,Back in Love,0.581,0.855,-4.325,0.287,0.274,0.0,0.305,0.535,82.19,241453.0,0
The Beatles,Back In The U.S.S.R,0.533,0.937,-7.51,0.0397,0.00173,0.000103,0.185,0.862,142.399,154393.0,4
The Beatles,Back In The U.S.S.R. - Remastered 2009,0.486,0.952,-7.922,0.0489,0.0633,0.000291,0.06,0.854,142.47,166760.0,4
The Beatles,Back In The U.S.S.R. - Remastered 2009,0.48,0.969,-7.464,0.0854,0.069,0.00022,0.0608,0.494,142.489,163453.0,2
Miike Snow,Back of the Car,0.806,0.681,-4.436,0.0287,0.7,0.00851,0.0762,0.953,93.956,216227.0,0
Amy Winehouse,Back To Black,0.49,0.725,-3.304,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,240440.0,6
Metronomy,Back Together,0.712,0.677,-9.269,0.0809,0.0146,0.000112,0.116,0.708,127.032,220180.0,4
The Beatles,Bad Boy - Remastered 2009,0.549,0.725,-8.512,0.0431,0.199,0.0,0.178,0.878,134.64,140600.0,4
Timber Timbre,Bad Ritual,0.65,0.261,-10.247,0.0298,0.494,0.0573,0.149,0.386,75.679,187227.0,1
Electric Guest,The Bait,0.777,0.628,-6.019,0.0298,0.00124,0.0211,0.101,0.712,138.025,186013.0,4
Jean Leloup,Balade à Toronto,0.545,0.678,-9.683,0.0405,0.249,0.000787,0.473,0.739,101.309,182933.0,3
The Beatles,The Ballad Of John And Yoko - Remastered 2009,0.656,0.865,-8.241,0.0311,0.00561,0.000104,0.0853,0.938,135.183,179853.0,4
The Beatles,The Ballad Of John And Yoko - Remastered 2009,0.654,0.862,-8.437,0.0316,0.0053,4.51e-05,0.0955,0.956,135.117,181067.0,4
The Beatles,The Ballad Of John And Yoko - Remastered 2015,0.651,0.892,-6.551,0.0313,0.00465,2.85e-06,0.127,0.962,135.309,179480.0,4
Jack Johnson,Banana Pancakes,0.816,0.375,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,191907.0,0
Radiohead,Bangers + Mash,0.637,0.98,-4.981,0.115,0.0307,0.000657,0.601,0.65,135.991,199502.0,3
Bloc Party,Banquet,0.578,0.892,-7.952,0.0441,0.000139,0.0111,0.215,0.892,150.253,196613.0,4
Pulp,Bar Italia,0.438,0.597,-6.255,0.0406,0.395,5.17e-05,0.158,0.109,124.58,223267.0,6
Duck Sauce,Barbra Streisand,0.694,0.813,-4.129,0.335,0.00649,0.000467,0.249,0.741,127.834,264814.0,0
Sufjan Stevens,Barcarola (You Must Be A Christmas Tree),0.245,0.267,-12.571,0.0465,0.921,0.000387,0.0944,0.0692,72.139,422827.0,1
The Strokes,Barely Legal,0.427,0.886,-6.304,0.037,0.004,0.0532,0.0909,0.857,157.609,234522.0,4
The Strokes,Barely Legal,0.424,0.884,-6.286,0.0365,0.00326,0.0499,0.0903,0.852,157.813,234693.0,4
